"","english","uzbek","russian"
"firstGuideLabel","Ready to Travel","Sayohatga tayyormisiz","Готов к путешествию"
"firstGuide","Choose your destination, plan your trip. Pick the best place for your holiday","Manzilni tanlang, sayohatingizni rejalashtiring. Ta'tilingiz uchun eng zo'r joyni toping","Выберите пункт назначения, спланировайте свое путешествие. Выберите лучшее место для вашего отдыха"
"secondGuideLabel","Select the Date","Sanani tanla","Выберите дату"
"secondGuide","Select the day, pick your ticket. We give you the best price. We guaranteed!","Sanani tanlang, chiptangizni oling. Biz sizge eng zo'r narxni taklif qilamiz. Biz kafolat beramiz!","Выберите день, заберите свой билет. Мы даем вам самые лучшие цены. Мы гарантируем!"
"thirdGuideLabel","Enjoy your Trip","Sayohatingizdan lazzatlaning","Наслаждайтесь вашим путешествием"
"thirdGuide","Enjoy your holidays! Do not forget to take a photo!","Ta'tilingizdan bahraman bo'ling! Rasmlar olish yodingizdan chiqmasin!","Хороших каникул! Не забудьте сфотографироваться!"
"hotel","Hotel","Mehmonxona","Гостиница"
"restaurant","Restaurant","Restaran","Ресторан"
"entertaining","Entertaining","Ko'ngil Ochar","Развлекательный"
"todo_button","Things To Do","Bayramlar","Праздник"
"location","Location","Manzil","Местонахождение"
"name","Name","Nomi","Имя"
"price","Price","Narxi","Цена"
"checkIn","Check In","Boshlanish Sanasi","Начальная дата"
"checkOut","Check Out","Tugash Sanasi","Дата окончания"
"type","Type","Turi","Тип"
"number_of_sits","Number of seats","O'rindiqlar Soni","Количество мест"
"skip","SKIP","O'TKAZISH","Пропустить"
"rateNumber","based on reviews"," ta baholash asosida","на основе  обзоров"
"your_rate","Rate as you want","Baholang"," Оцените"
"priceInterval","Price Interval","Narx Intervali","Интервал цен"
"infoButton","SHOW MORE INFORMATION","QO'SHIMCHA MA'LUMOT KO'RSATISH","ПОКАЗАТЬ БОЛЬШЕ ИНФОРМАЦИИ"
"overall_rating","OVERALL TRAVELLER RATING","UMUMIY SAYOHAT REYTINGI","СВОДНЫЙ РЕЙТИНГ ОТЕЛЯ"
"fantastic_text","Fantastic","Mo'jizaviy","Фантастический"
"excellent_text","Excellent","A'lo","Отличный"
"good_text","Good","Yahshi","Хороший"
"normal_text","Normal","Oddiy","Нормальный"
"bad_text","Bad","Yomon","Плохой"
"amenities_text","HOTEL AMENITIES","MEHMONXONA XUSUSIYATLARI","УДОБСТВА В ОТЕЛЕ"
"contact_text","CONTACTS","ALOQALAR","КОНТАКТЫ"
"comment_header","COMMENTS","IZOHLAR","КОММЕНТАРИИ"
"comment_text","Write your comments","Izohlaringizni yozing","Оставьте свои комментарии"
"send_button","Send","Jo'natish","Отправить"
"sits_header","Seats","O'rindiqlar soni","Количество посадочных мест"
"types_text","TYPES OF FOOD","RESTORAN TURI","ТИП РЕСТОРАНА"
"priceHeader","Price","Narx","Цена"
"ageHeader","Age Limit","Yosh Chegarasi","Возрастное Ограничение"
"rules_button","Rules","Qoidalar","Правила"
"amenities_entertaining_text","ENTERTAINING AMENITIES","KO'NGIL OCHAR JOY XUSUSIYATLARI","РАЗВЛЕКАТЕЛЬНЫЕ УСЛУГИ"
"amenities_restaurant_text","RESTAURANT AMENITIES","RESTORAN XUSUSIYATLARI","УДОБСТВА В РЕСТОРАНЕ"
"amenities_thingsToDo_text","THINGS TO DO AMENITIES","BAYRAM JOYLARINING XUSUSIYATLARI","СВОЙСТВА ПРАЗДНИЧНЫХ МЕСТ"
"based_on","based on","asosida","на основе"
"reviews","reviews","baholash","обзоров"
"Fantastic","Fantastic","Mo'jizaviy","Фантастический"
"Excellent","Excellent","A'lo","Отличный"
"Good","Good","Yahshi","Хороший"
"Normal","Normal","Oddiy","Нормальный"
"Bad","Bad","Yomon","Плохой"
"you_rated","You Rated","Baholadingiz","Оценили"
"Free WiFi","Free WiFi","Tekin WiFi","Бесплатный вай-фай"
"Free Parking","Free Parking","Avtoturargoh","Бесплатная парковка"
"Free Children Yard","Free Children Yard","Bolalar o'yingohi","Детский двор"
"date_text","HOLDING DATE","O'TKAZISH SANASI","ХОЛДИНГ ДАТА"
"entertaining_price","Price","Narx","Цена"
"rules_header","Rules","Qoidalar","Правилы"